OBJECTID,CD_GEOCODI,NM_BAIRRO,NM_SUBDIST,NM_DISTRIT,INDIC_AGUA_ADEQUADA,INDIC_ESGOTO_ADEQUADO,INDIC_LIXO_ADEQUADO,INDIC_MEDBANH_PES,INDIC_ANALFAB_10A14,INDIC_RENDARESP_POS_SM,INDIC_RENDARESP_POS_ATE2SM,INDIC_RENDARESP_P_MAISDE10SM,I_AGUA_ADEQUADA,I_ESGOTO_ADEQUADO,I_LIXO_ADEQUADO,I_MEDBANH_PES,I_ANALFAB_10A14,I_RENDARESP_POS_SM,I_RENDARESP_POS_ATE2SM,I_RENDARESP_P_MAISDE10SM,IDS
15089,330455705220193,Bangu,BANGU,RIO DE JANEIRO,99.70149254,100,100,0.35942029,1.28205128,2.7352227,53.64238411,0.99337748,0.99701493,1,1,0.16327488,0.97863248,0.03019955,0.46357616,0.01070985,0.58042598
15090,330455705220194,Bangu,BANGU,RIO DE JANEIRO,100,99.69040248,100,0.35232669,0,2.68547903,54.44839858,1.42348754,1,0.99690402,1,0.16005245,1,0.02946449,0.45551601,0.01534698,0.58216049
15091,330455705220195,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.35339168,0,2.6876425,51.5503876,1.1627907,1,1,1,0.16053625,1,0.02949646,0.48449612,0.01253634,0.58588315
15092,330455705220196,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.37349398,3.44827586,2.17576696,65.55023923,0,1,1,1,0.16966818,0.94252874,0.02193247,0.34449761,0,0.55982837
15093,330455705220197,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.39052288,0,2.27192228,63.01369863,0.456621,1,1,1,0.17740395,1,0.02335336,0.36986301,0.00492295,0.57194291
15094,330455705220198,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.33455882,0,1.86544519,79.91803279,0,1,1,1,0.15198099,1,0.01734684,0.20081967,0,0.54626844
15095,330455705220199,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.37350993,1.42857143,1.77917597,78.48101266,0,1,1,1,0.16967543,0.97619048,0.01607204,0.21518987,0,0.54714098
15096,330455705220200,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.36414566,2.85714286,1.47628171,88.99082569,0,1,1,1,0.16542149,0.95238095,0.01159617,0.11009174,0,0.52993629
15097,330455705220201,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.3255814,1.2987013,1.77063691,79.43262411,0,1,1,1,0.14790279,0.97835498,0.01594586,0.20567376,0,0.54348467
15098,330455705220202,Bangu,BANGU,RIO DE JANEIRO,100,91.796875,100,0.38014184,0,2.13094443,64.19213974,0,1,0.91796875,1,0.17268812,1,0.02127013,0.3580786,0,0.5587507
