id,title,type,owner,url,has_url,size,num_views,tags,year_created,year_modified,granularity_guess,themes_guess,snippet
0a220ea7972449e39a28210dd317f636,Escolas Municipais,Feature Service,PrefeituraRio,https://pgeo3.rio.rj.gov.br/arcgis/rest/services/Educacao/SME/MapServer/1,True,72,113808,Educação|Escolas|Escolas Municipais,2015,2024,escola,,"Camada de dados das unidades da Secretaria Municipal de Educação, contendo Escolas Municipais, Espaços de Desenvolvimento Infantil (EDI), Creches e outros. Última atualização: Junho/2023"
1a351530af074c94984ae1a681fe1cdf,Creches Conveniadas,Feature Service,PrefeituraRio,http://pgeo3.rio.rj.gov.br/arcgis/rest/services/SME/SME_View/MapServer/2,True,72,2714,Educação,2015,2023,,,Vizualização de Creches Conveniadas com a Prefeitura do Rio
fbfcbfae92654e248bdf1452cf260626,Limites CRE,Feature Service,PrefeituraRio,https://pgeo3.rio.rj.gov.br/arcgis/rest/services/Educacao/SME/MapServer/0,True,72,9820,SME|Educação|CRE,2016,2022,cre,,Limites CRE - Visualização
8397b3b090794488995be72c05e3ec61,Mapa Digital de Educação,Web Mapping Application,PrefeituraRio,https://pcrj.maps.arcgis.com/apps/webappviewer/index.html?id=8397b3b090794488995be72c05e3ec61,True,109224,15612,Educação,2016,2022,municipio,,Localização dos Estabelecimentos de Ensino da Rede Pública da Cidade do Rio de Janeiro
8285913cfc5f45a8870c65c4b84a0777,Mapa Digital de Educação,Code Attachment,PrefeituraRio,https://pcrj.maps.arcgis.com/sharing/rest/content/items/8397b3b090794488995be72c05e3ec61/package,True,0,0,Grupo Educacao,2016,2017,,,
5539cb3f3eea4b06b6d4fd6b52ae650b,ATLAS ESCOLAR,Web Mapping Application,armazenzinho,https://pcrj.maps.arcgis.com/apps/Cascade/index.html?appid=5539cb3f3eea4b06b6d4fd6b52ae650b,True,109301888,158097,Atlas,2017,2023,escola,,"Atlas Escolar da Cidade do Rio de Janeiro, criado pelo Instituto Pereira Passos, a partir de diversas informações cadastrais, geográficas e estatísticas sobre a Cidade do Rio de Janeiro, disponíveis no SIURB-Sistema Municipal de Informações Urbanas"
a0aa37fa8e6f43f59bd65c7834c650cc,COLEÇÃO ESTUDOS CARIOCAS - O Rio na virada do século: do Censo 1991 até a PNAD 2006 (Maio/2008),PDF,PrefeituraRio,,False,1340336,594,Educação|Escolaridade da população,2017,2023,,pnad|escolaridade,
eafc70844f41438da45a79563fd1d310,"COLEÇÃO ESTUDOS CARIOCAS - A Cidade do Rio de Janeiro na PNAD: condições de vida, educação, renda e ocupação entre 2001-2006 (Agosto/2008)",PDF,PrefeituraRio,,False,3254684,885,População|Trabalho e renda,2017,2023,municipio,pnad,Não foi feita anotação
3e60f3b9de6a4c38b5e813089b7adebf,COLEÇÃO ESTUDOS CARIOCAS - Os dirigentes das escolas municipais e a violência: uma comparação entre 2001-2005 (Novembro/2005),PDF,PrefeituraRio,,False,2395348,653,Educação,2017,2023,escola,,Não cabe anotação
ecfa86b57fc74247857221a40a2dd76b,NOTA TÉCNICA 12 - Evolução das matrículas na rede municipal da Cidade do Rio de Janeiro entre 2001-2012 (Dezembro/2012),PDF,PrefeituraRio,,False,591258,631,Educação|Educação básica,2017,2023,municipio,matricula|censo_demografico|educacao_basica,Essa Nota Técnica mostra que a redução nas matrículas do ensino fundamental resulta da combinação da estabilidade na taxa de escolarização e da queda no número de habitantes nessa faixa etária (ambos resultados publicados no Censo Demográfico de 2010
93722c0217db42969d7c6c53deaa3c92,COLEÇÃO ESTUDOS CARIOCAS - Escolaridade dos chefes de domicílio segundo a contagem da população de 1996 (Maio/2001),PDF,PrefeituraRio,,False,1289682,589,Educação|Escolaridade da população,2017,2019,,escolaridade,Não cabe anotação
