openalex_id,title,category_id,old_stage2_score,new_stage2_sim,old_status,new_status,old_score,new_score,old_item,new_item
https://openalex.org/W3025985387,"Vulnerabilidade a formas graves de COVID-19: uma análise intramunicipal na cidade do Rio de Janeiro,",geometry-neighborhoods,0.0,0.0,available,,10.0,0.0,ae64616d363e48c897818b640e2a22cd,
https://openalex.org/W1977352451,Distribuição de Renda no Brasil de 1976 a 2004 com Ênfase no Período Entre 2001 e 2004,microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1977352451,Distribuição de Renda no Brasil de 1976 a 2004 com Ênfase no Período Entre 2001 e 2004,microdata-household,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1977352451,Distribuição de Renda no Brasil de 1976 a 2004 com Ênfase no Período Entre 2001 e 2004,longitudinal-cohort,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W126803569,Organized teachers in American schools,geometry-schools,0.0,7.332,,available,0.0,21.8,,498e637753bd4e0da76e90103dd21eb7
https://openalex.org/W3143441633,Os determinantes da desigualdade de renda no Brasil: Luta de classes ou heterogeneidade educacional?,longitudinal-cohort,2.0,0.0,external,,0.0,0.0,,
https://openalex.org/W3035033144,The Political Scar of Epidemics,microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W3035033144,The Political Scar of Epidemics,microdata-household,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W340377713,Optimal Fiscal Reform of Metropolitan Schools: Some Simulation Results,performance-aggregated,0.0,6.461,,available,0.0,15.54,,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W340377713,Optimal Fiscal Reform of Metropolitan Schools: Some Simulation Results,ses-aggregated,0.0,6.461,,available,0.0,18.95,,fa85ddc76a524380ad7fc60e3006ee97
https://openalex.org/W340377713,Optimal Fiscal Reform of Metropolitan Schools: Some Simulation Results,geometry-schools,2.0,13.793,available,available,7.0,21.8,498e637753bd4e0da76e90103dd21eb7,498e637753bd4e0da76e90103dd21eb7
https://openalex.org/W1536920196,A Review Essay-Comparisons of Public and Private Schools: Lessons from the Uproar,longitudinal-cohort,0.0,7.514,,external,0.0,0.0,,
https://openalex.org/W1536920196,A Review Essay-Comparisons of Public and Private Schools: Lessons from the Uproar,performance-aggregated,0.0,7.514,,available,0.0,15.54,,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W1536920196,A Review Essay-Comparisons of Public and Private Schools: Lessons from the Uproar,geometry-schools,0.0,7.332,,available,0.0,21.8,,498e637753bd4e0da76e90103dd21eb7
