hex_id,ideb_bairro,nome,codbairro,codra,rp,cod_rp,area_plane
88a8a039cdfffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06703fffff,Realengo,Realengo,139,33,Bangu,5.1,5
88a8a02b59fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06757fffff,Realengo,Realengo,139,33,Bangu,5.1,5
88a8a07887fffff,Botafogo,Botafogo,020,4,Zona Sul,2.1,2
88a8a078dbfffff,Jardim Botânico,Jardim Botânico,028,6,Zona Sul,2.1,2
88a8a06039fffff,Água Santa,Água Santa,067,13,Méier,3.2,3
88a8a0608dfffff,Cascadura,Cascadura,082,15,Madureira,3.3,3
88a8a071bdfffff,Joá,Joá,126,24,Barra da Tijuca,4.2,4
88a8a060e1fffff,Quintino Bocaiúva,Quintino Bocaiúva,079,15,Madureira,3.3,3
88a8a06135fffff,Vasco da Gama,Vasco da Gama,158,7,Centro,1.1,1
88a8a06189fffff,Inhaúma,Inhaúma,054,12,Inhaúma,3.4,3
88a8a02e4dfffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a06a4bfffff,Catete,Catete,018,4,Zona Sul,2.1,2
88a8a061ddfffff,Pilares,Pilares,071,13,Méier,3.2,3
88a8a06231fffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a06285fffff,Pechincha,Pechincha,121,16,Jacarepaguá,4.1,4
88a8a02f49fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a062d9fffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a07409fffff,Recreio dos Bandeirantes,Recreio dos Bandeirantes,132,24,Barra da Tijuca,4.2,4
88a8a06447fffff,Realengo,Realengo,139,33,Bangu,5.1,5
88a8a0632dfffff,Alto da Boa Vista,Alto da Boa Vista,034,8,Tijuca,2.2,2
88a8a0745dfffff,Recreio dos Bandeirantes,Recreio dos Bandeirantes,132,24,Barra da Tijuca,4.2,4
88a8a038b3fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a02849fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a074b1fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a03907fffff,Grumari,Grumari,133,24,Barra da Tijuca,4.2,4
88a8a07505fffff,Barra da Tijuca,Barra da Tijuca,128,24,Barra da Tijuca,4.2,4
88a8a0282bfffff,Inhoaíba,Inhoaíba,146,18,Campo Grande,5.2,5
88a8a07559fffff,Barra da Tijuca,Barra da Tijuca,128,24,Barra da Tijuca,4.2,4
88a8a075adfffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a028d3fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a02927fffff,Santíssimo,Santíssimo,143,18,Campo Grande,5.2,5
88a8a06525fffff,Pavuna,Pavuna,114,25,Pavuna,3.6,3
88a8a076a9fffff,Vargem Grande,Vargem Grande,131,24,Barra da Tijuca,4.2,4
88a8a0210dfffff,Sepetiba,Sepetiba,150,19,Santa Cruz,5.3,5
88a8a07523fffff,Barra Olímpica,Barra Olímpica,165,16,Jacarepaguá,4.1,4
88a8a02a23fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06621fffff,Bangu,Bangu,141,17,Bangu,5.1,5
88a8a021b5fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
