id,title,format,file_bytes,n_sheets,total_rows,max_cols,max_unique_first_col,years_min,years_max,num_views,tags
023006ef4e8c4277b7551343ef0e9790,"Ensino de pós-graduação: número de alunos de pós-graduação e tempo médio de titulação em meses, por nível, agrupado por instituição, no Município do Rio de Janeiro em 2006/2007",xls,40960,2,80,25,33,2006,2008,119,Educação|Ensino superior
069f8afac36c456cbb13e845595e1331,"Taxa de alfabetização das pessoas de 10 anos ou mais de idade por sexo, segundo Regiões Administrativas (RA) e Bairros no Município do Rio de Janeiro - 2010",xls,42496,1,237,4,195,2010,2010,196,Educação|Escolaridade da população
0a5a97fed2e540fd8320c05e70867491,"Número e proporção das pessoas de 0 a 4 anos que frequentam escola ou creche e nível de ensino, segundo as Regiões Administrativas (RA) do Município do Rio de Janeiro, em 2000/2010",xls,55808,2,92,9,37,2000,2010,120,Educação|Escolaridade da população
0f6d773c93654593a5a73d7ac8b66819,"Educação Infantil e  Ensino fundamental: docentes por categoria funcional na rede pública municipal, segundo as Coordenações Regionais de Educação (CRE), entre 2005-2008",xls,20480,2,49,7,17,2005,2008,65,Educação|Educação básica
1137f9c36087443ebf1b4f7809576f8b,"Educação Infantil: docentes, por grau de formação, segundo as Dependências Administrativas, entre 2001-2020",xls,45568,3,148,5,21,2001,2020,84,Educação|Educação básica
1193f2596b9f46e1b0223b4fd5d9ad71,Número e distribuição percentual das matrículas em cursos de graduação presenciais no Brasil e suas 12 maiores capitais entre 2000-2022,xls,268800,24,552,3,15,2000,2023,139,Educação|Ensino superior
126a4fb5bc6a4882aca19917f27957eb,"Número de matrículas do ensino médio, por sexo, série e não-seriado, segundo as Dependências Administrativas, entre 1999-2020",xls,47104,3,134,9,18,1999,2020,261,Educação|Ensino médio
1666391bdbc0445da8164a488feca325,"Educação Básica: distorção idade-conclusão por sexo, no ensino fundamental e médio, segundo as Dependências Administrativas, entre 2000-2005",xls,18432,1,46,5,15,2000,2008,93,Educação|Ensino médio
169c46ae23b04dc8ad494e4fe6c04eb5,"Ensino de pós-graduação: investimentos realizados pelo CNPQ em bolsas e no fomento à pesquisa, segundo a área de conhecimento, no Estado do Rio de Janeiro entre 2001-2015",xls,122368,1,135,46,102,2001,2015,90,Educação|Ensino superior
1a63618dc13a4a1ea8102371185eb4cd,"Educação de Jovens e Adultos: matrículas no CREJA, por idade e matrícula inicial, segundo os programas, no Município do Rio de Janeiro entre 2007-2013",xls,97792,7,125,14,7,2007,2013,81,Educação|Educação básica
