base_year,target_year,ap,ra,bairro,ideb_5,ideb_9,delta
2013,2017,Área de Planejamento 3,X Ramos,Olaria,5.308333333333334,4.7405405405405405,-0.567792792792793
2013,2017,Área de Planejamento 3,X Ramos,Ramos,5.210505836575876,4.503506097560976,-0.7069997390148997
2013,2017,Área de Planejamento 3,XXX Maré,Maré,4.373396674584322,3.474114441416894,-0.8992822331674284
2013,2017,Área de Planejamento 3,XIII Méier,Água Santa,5.9,4.5,-1.4000000000000004
2013,2017,Área de Planejamento 3,XIII Méier,Cachambi,6.054545454545456,4.943181818181818,-1.1113636363636372
2013,2017,Área de Planejamento 3,XIII Méier,Encantado,6.8,4.4,-2.3999999999999995
2013,2017,Área de Planejamento 3,XIII Méier,Engenho de Dentro,5.741297935103245,5.174460431654676,-0.5668375034485686
2013,2017,Área de Planejamento 3,XIII Méier,Jacaré,5.448128342245989,5.4,-0.04812834224598905
2013,2017,Área de Planejamento 3,XIII Méier,Lins de Vasconcelos,4.738383838383839,4.0,-0.7383838383838386
2013,2017,Área de Planejamento 3,XIII Méier,Méier,5.069950738916257,5.418181818181818,0.3482310792655614
2013,2017,Área de Planejamento 3,XIII Méier,Piedade,6.219138755980862,4.353548387096775,-1.865590368884087
2013,2017,Área de Planejamento 3,XIII Méier,Pilares,5.857142857142857,5.053926701570681,-0.8032161555721755
2013,2017,Área de Planejamento 3,XIII Méier,Rocha,5.229931972789116,4.1,-1.129931972789116
2013,2017,Área de Planejamento 3,XIII Méier,Todos os Santos,5.7,4.8,-0.9000000000000004
2013,2017,Área de Planejamento 3,XIV Irajá,Colégio,5.427810650887574,4.656976744186046,-0.7708339067015277
2013,2017,Área de Planejamento 3,XIV Irajá,Irajá,5.436387434554974,4.733333333333333,-0.7030541012216407
2013,2017,Área de Planejamento 3,XIV Irajá,Vila Kosmos,5.2627450980392165,4.134463276836158,-1.1282818212030588
2013,2017,Área de Planejamento 3,XIV Irajá,Vista Alegre,6.1,5.4,-0.6999999999999993
2013,2017,Área de Planejamento 3,XV Madureira,Bento Ribeiro,5.470588235294118,4.7,-0.7705882352941176
2013,2017,Área de Planejamento 3,XV Madureira,Cascadura,5.079061371841156,4.4750000000000005,-0.6040613718411558
2013,2017,Área de Planejamento 3,XV Madureira,Cavalcanti,5.564144736842105,4.841477272727272,-0.7226674641148332
2013,2017,Área de Planejamento 3,XV Madureira,Honório Gurgel,5.0814814814814815,4.720481927710843,-0.36099955377063875
2013,2017,Área de Planejamento 3,XV Madureira,Madureira,4.881935483870968,5.3,0.41806451612903217
2013,2017,Área de Planejamento 3,XV Madureira,Marechal Hermes,5.876237623762377,4.701159420289855,-1.1750782034725216
2013,2017,Área de Planejamento 3,XV Madureira,Oswaldo Cruz,5.182838283828384,4.60246913580247,-0.5803691480259143
2013,2017,Área de Planejamento 3,XV Madureira,Quintino Bocaiúva,5.650485436893204,4.632041343669251,-1.0184440932239527
2013,2017,Área de Planejamento 3,XV Madureira,Rocha Miranda,5.227272727272728,5.209596662030598,-0.017676065242130612
2013,2017,Área de Planejamento 3,XV Madureira,Turiaçu,5.728682170542636,4.7,-1.0286821705426359
2013,2017,Área de Planejamento 3,XV Madureira,Vaz Lobo,4.8,4.9,0.10000000000000053
2013,2017,Área de Planejamento 3,XII Inhaúma,Del Castilho,4.802985074626866,3.8,-1.0029850746268663
2013,2017,Área de Planejamento 3,XII Inhaúma,Engenho da Rainha,5.00324074074074,4.7,-0.3032407407407396
2013,2017,Área de Planejamento 3,XII Inhaúma,Higienópolis,4.761230769230769,4.261087866108786,-0.5001429031219828
2013,2017,Área de Planejamento 3,XII Inhaúma,Inhaúma,5.487589498806682,5.163969171483621,-0.3236203273230611
2013,2017,Área de Planejamento 3,XII Inhaúma,Maria da Graça,4.3,3.6,-0.6999999999999997
2013,2017,Área de Planejamento 3,XI Penha,Brás de Pina,5.331372549019608,5.4429378531073445,0.11156530408773602
2013,2017,Área de Planejamento 3,XI Penha,Penha,4.93076923076923,4.579999999999999,-0.35076923076923094
2013,2017,Área de Planejamento 3,XI Penha,Penha Circular,5.6082,4.73727959697733,-0.8709204030226703
2013,2017,Área de Planejamento 3,XXXI Vigário Geral,Cordovil,5.026133909287257,4.202135231316726,-0.8239986779705308
2013,2017,Área de Planejamento 3,XXXI Vigário Geral,Jardim América,5.129314420803782,4.320481927710843,-0.8088324930929387
2013,2017,Área de Planejamento 3,XXXI Vigário Geral,Vigário Geral,4.134126984126984,4.2566037735849065,0.12247678945792284
2013,2017,Área de Planejamento 3,XXII Anchieta,Guadalupe,5.400598802395209,4.421063394683027,-0.9795354077121825
2013,2017,Área de Planejamento 3,XXII Anchieta,Parque Anchieta,5.938927335640138,4.6,-1.3389273356401388
2013,2017,Área de Planejamento 3,XXII Anchieta,Ricardo de Albuquerque,5.2,5.6,0.39999999999999947
2013,2017,Área de Planejamento 3,XXV Pavuna,Coelho Neto,4.520105820105821,4.5,-0.020105820105820627
