bairro,value,z,lag_z,local_i,pseudo_p,lisa_class
itanhanga,5.5,-1.0076,0.7365,-0.7421,0.133,NS
vila militar,6.2,0.3877,0.5585,0.2165,0.13,NS
campo dos afonsos,6.6,1.185,1.1052,1.3096,0.021,HH
barra da tijuca,6.7,1.3843,0.2382,0.3297,0.687,NS
vargem pequena,6.2,0.3877,0.288,0.1116,0.71,NS
vargem grande,6.2,0.3877,0.3592,0.1392,0.32,NS
recreio dos bandeirantes,6.1,0.1883,0.886,0.1669,0.079,NS
parada de lucas,5.2,-1.6056,-0.2103,0.3377,0.762,NS
cordovil,6.0,-0.011,-0.011,0.0001,0.99,NS
iraja,6.2,0.3877,-0.692,-0.2683,0.011,HL
imperial de sao cristovao,6.2,0.3877,0.0554,0.0215,0.856,NS
bras de pina,6.3,0.587,0.9192,0.5395,0.108,NS
vila da penha,6.9,1.7829,-0.011,-0.0196,0.988,NS
