id,title,file_bytes,n_pages,has_text_layer,is_encrypted,colecao,issue_year,num_views,tags,first_paragraph,parse_error
3e60f3b9de6a4c38b5e813089b7adebf,COLEÇÃO ESTUDOS CARIOCAS - Os dirigentes das escolas municipais e a violência: uma comparação entre 2001-2005 (Novembro/2005),2395348,14,True,False,Estudos Cariocas,2005,653,Educação,ISSN 1984-7203 COLEÇÃO ESTUDOS CARIOCAS Os dirigentes das escolas municipais e  a violência: uma comparação entre  2001/2005  Nº 20051101  Novembro - 2005    Fernando Cavallieri - IPP/Prefeitura da Cidade do Rio de Janeiro  PREFEITURA DA CIDADE DO RIO DE JANEIRO  Secretaria Munic,
3f3655c357d84dc8bd9df60b09a97a66,COLEÇÃO ESTUDOS CARIOCAS - Cidade do Rio: universalização do ensino está mais próxima (Setembro/2002),1046209,6,True,False,Estudos Cariocas,2002,618,Educação|Educação básica,ISSN 1984-7203 COLEÇÃO ESTUDOS CARIOCAS Cidade do Rio: universalização do  ensino está mais próxima  Nº 20020901  Setembro - 2002    Paulo Bastos Cezar - IPP/Prefeitura da Cidade do Rio de Janeiro  PREFEITURA DA CIDADE DO RIO DE JANEIRO  Secretaria Municipal de Urbanismo  Institu,
5a7061d49e894343ad5b1f84c94d2a72,Cadernos do Rio - Prévias do Censo: Sexo e Idade (Dezembro/2024),3847688,20,False,False,Cadernos do Rio,2024,565,censo 2022|cadernos do rio|sexo|idade|faixa etária|jovens|adultos|idosos|crianças|envelhecimento|população|saúde|4055|prévias do censo|terceira idade,,
620e401f3a4a4779b49d3439f263a2b5,RIO ESTUDOS Nº 172 - Ações de prevenção à dependencia química vinculadas às escolas municipais entre 2001 e 2005 (Setembro/2005),1590238,11,True,False,Rio Estudos,2005,466,Educação,,
6d001889b8c7435aa108a503f19110a8,NOTA TÉCNICA 29 - Pesquisa Nacional de Saúde Escolar (PeNSE 2012): Características do Ambiente Escolar e Entorno (Junho/2014) ,926782,15,True,False,Notas Técnicas IPP,2014,499,Educação,Pesquisa Nacional de Saúde Escolar  PeNSE 2012  Características do Ambiente Escolar e Entorno        Autores: ALCIDES CARNEIRO e LUCIA SANTOS    www.rio.rj.gov.br/web/ipp  www.armazemdedados.rio.rj.gov.br                 Junho de 2014 – N° 29,
6f78e3e6689649199daa14828ce02754,RIO ESTUDOS Nº 26 - A cultura da paz em resposta à violência (Agosto/2001),347708,16,True,False,Rio Estudos,2001,755,Educação,,
756b6f71c5f849dd976836079eb2cac2,Cadernos do Rio - Prévias do Censo: Dinâmica Demográfica dos Bairros (Dezembro/2024),5180298,15,False,False,Cadernos do Rio,2024,872,urbanismo|população|habitação|dinâmica demográfica|censo 2022|demografia|bairros|cadernos do rio|crescimento populacional|queda populacional|dinâmica urbana|Dinâmica Imobiliária|4057|prévias do censo|Habitação e Urbanismo,,
76955c4b2cfc488d879238eac09c75a2,RIO ESTUDOS Nº 88 - Município prioriza ações para jovens (Janeiro/2003),267963,13,False,False,Rio Estudos,2003,487,Educação|Educação básica,,
7cc6fcf8d964460b8d3dfc6e711ce721,RIO ESTUDOS Nº 72 - O futuro da sociedade e o presente da educação (Setembro/2002),238680,8,False,False,Rio Estudos,2002,653,Educação|Escolaridade da população,,
7cd5d18c62a140439dd588de41b3d38f,RIO ESTUDOS Nº 38 - Pesquisa da CNTE: violência dentro da escola (Outubro/2001),234974,5,False,False,Rio Estudos,2001,376,Educação,,
